"Source:","D:\W\2307_pigeon\HW\PigeonMonitor\Externals\Adafruit-BMP3xx-PCB-master\Adafruit BMP388\Adafruit BMP388\Adafruit BMP388.kicad_sch"
"Date:","10/3/2023 1:51:13 PM"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","15"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","2","C1, C3","10uF","Adafruit BMP388-eagle-import:CAP_CERAMIC0805-NOOUTLINE","Adafruit BMP388:0805-NO","",""
"2","1","C2","0.1uF","Adafruit BMP388-eagle-import:CAP_CERAMIC0603_NO","Adafruit BMP388:0603-NO","",""
"3","1","D2","1N4148","Adafruit BMP388-eagle-import:DIODESOD-323","Adafruit BMP388:SOD-323","",""
"4","1","IC1","BMP388","Adafruit BMP388-eagle-import:BMP388","Adafruit BMP388:BMP388","",""
"5","1","JP1","HEADER-1X870MIL","Adafruit BMP388-eagle-import:HEADER-1X870MIL","Adafruit BMP388:1X08_ROUND_70","",""
"6","1","Q1","2N7002D","Adafruit BMP388-eagle-import:MOSFET-N_DUAL","Adafruit BMP388:SOT363","",""
"7","2","R1, R4","10K","Adafruit BMP388-eagle-import:RESISTOR_0603_NOOUT","Adafruit BMP388:0603-NO","",""
"8","1","R3","10K","Adafruit BMP388-eagle-import:RESISTOR_4PACK","Adafruit BMP388:RESPACK_4X0603","",""
"9","1","U2","MIC5225-3.3","Adafruit BMP388-eagle-import:VREG_SOT23-5","Adafruit BMP388:SOT23-5","",""
"10","2","U$5, U$15","FIDUCIAL_1MM","Adafruit BMP388-eagle-import:FIDUCIAL_1MM","Adafruit BMP388:FIDUCIAL_1MM","",""
"11","2","U$7, U$8","MOUNTINGHOLE2.0","Adafruit BMP388-eagle-import:MOUNTINGHOLE2.0","Adafruit BMP388:MOUNTINGHOLE_2.0_PLATED","",""
