Ref,Val,Package,PosX,PosY,Rot,Side
"C4","10uF","0805-NO",79.850000,-89.929227,-90.000000,bottom
"J1","GCT-SIM7200-XRevA","GCT_SIM7200-6-0-18-00-X_REVA",85.087000,-61.723000,-90.000000,bottom
"J2","Micro_SD_Card","microSD_HC_Molex_47219-2001",94.175000,-82.033000,-90.000000,bottom
"J4","BAT_PORT","Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal",81.000000,-97.500000,180.000000,bottom
"J5","PROG_PORT","Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal",96.577191,-97.491398,180.000000,bottom
"R7","1K","0603-NO",83.850000,-87.000000,0.000000,bottom
"R8","2K","0603-NO",80.404275,-86.978523,180.000000,bottom
"U3","MCP73831-2-OT","SOT-23-5",83.420188,-89.978133,180.000000,bottom
"C1","10uF","0805-NO",96.950000,-91.000000,180.000000,top
"C2","1uF","0805-NO",96.950000,-93.000000,180.000000,top
"C3","68uF-10V-10%","EIA3528",91.000000,-92.000000,0.000000,top
"C5","0.1uF","0603-NO",89.408000,-97.956000,90.000000,top
"C8","10uF","0805-NO",78.050000,-60.630000,180.000000,top
"C9","10uF","0805-NO",78.050000,-63.130000,180.000000,top
"C10","10uF","0805-NO",78.050000,-65.630000,180.000000,top
"C11","0.1uF","0603-NO",78.000000,-68.570000,180.000000,top
"C12","10uF","0805-NO",100.142000,-60.985392,0.000000,top
"C13","10uF","0805-NO",100.142000,-63.485392,0.000000,top
"C14","0.1uF","0603-NO",100.252000,-65.425392,0.000000,top
"CHG","CHG","D0603",86.995000,-97.155000,-90.000000,top
"D1","LED_GSM","LED-0603",77.597000,-87.122000,90.000000,top
"D2","LED_GPS","LED-0603",77.597000,-75.692000,-90.000000,top
"GPS_ANTENNA","ANTENNA-U-FL","4P-U-FL",100.000000,-56.000000,0.000000,top
"GSM_ANTENNA","ANTENNA-U-FL","4P-U-FL",79.000000,-56.141642,180.000000,top
"L2","82nH","L0603",97.536000,-58.801000,-90.000000,top
"R1","10K","0603-NO",93.000000,-97.000000,180.000000,top
"R2","1K","0603-NO",93.000000,-99.000000,0.000000,top
"R3","200K","0603-NO",78.000000,-91.000000,0.000000,top
"R4","100K","0603-NO",78.000000,-93.000000,180.000000,top
"R5","1K","0603-NO",77.597000,-83.439000,-90.000000,top
"R6","1K","0603-NO",77.597000,-79.629000,90.000000,top
"R9","10K","0603-NO",91.000000,-63.000000,-90.000000,top
"R10","10K","0603-NO",87.000000,-63.150000,-90.000000,top
"SW_POW1","POWER","SW_Push_SPST_NO_Alps_SKRK",99.569479,-98.000000,180.000000,top
"SW_RST1","RESET","SW_Push_SPST_NO_Alps_SKRK",79.000000,-98.000000,180.000000,top
"U1","A9G","A9G",90.800000,-77.500000,0.000000,top
"U5","BMP388","QFN_BMP388_BOS",92.334585,-55.337172,0.000000,top
"U7","AP7312-1833","SOT23-6",83.000000,-63.000000,90.000000,top
"U9","MIC5225-3.3","SOT23-5",95.300100,-61.950000,90.000000,top
"X1","ENS160","ENS160",85.691000,-56.354000,0.000000,top
