Source:,D:\W\2307_pigeon\HW\PigeonMonitor\air_station_1v5\air_station_1v5.kicad_sch,,,,,,,
Date:,10/3/2023 13:53,,,,,,,
Tool:,Eeschema 7.0.8,,,,,,,
Generator:,C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,,,
Component Count:,40,,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Vendor,DNP,Description,
"C1, C4, C12, C13",4,10uF,CAP_CERAMIC0805-NOOUTLINE,Adafruit BMP388:0805-NO,Mouser,346-CM21X5R106K16AT ,Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 10uF 10% X5R,https://www.mouser.com/datasheet/2/40/CM_Series_e-2835982.pdf
C2,1,1uF,CAP_CERAMIC0805-NOOUTLINE,Adafruit BMP388:0805-NO,Mouser,346-CM21X7R105M10AT ,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10V 1uF 20% X7R,https://www.mouser.com/datasheet/2/40/CM_Series_e-2835982.pdf
C3,1,68uF-POLAR-EIA3528-10V-10%(TANT),68UF-POLAR-EIA3528-10V-10%(TANT),Maduino Zero A9G GPS Tracker v3.3:EIA3528,,,,
C5,1,0.1uF,CAP_CERAMIC0805-NOOUTLINE,Adafruit BMP388:0805-NO,,77-VJ0805Y104KCAAT,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 0.1uF 50volt X7R 10% Non-Mag,https://www.vishay.com/doc?45227
"C8, C9, C10",3,10uF,CAP_CERAMIC0805-NOOUTLINE,Adafruit ENS160:0805-NO,,,,
C11,1,0.1uF,CAP_CERAMIC0603_NO,Adafruit ENS160:0603-NO,,,,
C14,1,0.1uF,CAP_CERAMIC0603_NO,Adafruit BMP388:0603-NO,,,,
CHG1,1,ORANGE,007-LED0603,Maduino Zero A9G GPS Tracker v3.3:D0603,,,,
D1,1,LED_GPRS,LED'0603',Maduino Zero A9G GPS Tracker v3.3:LED-0603,,,,
D2,1,LED_GPS,LED'0603',Maduino Zero A9G GPS Tracker v3.3:LED-0603,,,,
GPS_ANTENNA1,1,ANTENNA-U-FL,ANTENNA-U-FL,Maduino Zero A9G GPS Tracker v3.3:4P-U-FL,,,,
GSM_ANTENNA1,1,ANTENNA-U-FL,ANTENNA-U-FL,Maduino Zero A9G GPS Tracker v3.3:4P-U-FL,,,,
J2,1,Micro_SD_Card,Micro_SD_Card,Connector_Card:microSD_HC_Molex_47219-2001,,,Micro SD Card Socket,
J4,1,BAT_PORT,Conn_01x02,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
J5,1,PROG_PORT,Conn_01x04,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",
L2,1,82nH,L'0603',Maduino Zero A9G GPS Tracker v3.3:L0603,,,,
"R1, R9, R10",3,10K,RESISTOR_0603_NOOUT,Adafruit BMP388:0603-NO,,,,
"R2, R5, R6, R7",4,1K,RESISTOR_0603_NOOUT,Adafruit BMP388:0603-NO,,,,
R3,1,200K,RESISTOR_0603_NOOUT,Adafruit BMP388:0603-NO,,,,
R4,1,100K,RESISTOR_0603_NOOUT,Adafruit BMP388:0603-NO,,,,
R8,1,2K,RESISTOR_0603_NOOUT,Adafruit BMP388:0603-NO,,,,
"SW1, SW2",2,SW_Push,SW_Push,Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,,,"Push button switch, generic, two pins",
U1,1,A9G,A9G,Maduino Zero A9G GPS Tracker v3.3:A9G,,,,
U3,1,MCP73831-2-OT,MCP73831-2-OT,Package_TO_SOT_SMD:SOT-23-5,Mouser,579-MCP73831T-2ACIOT,"Single cell, Li-Ion/Li-Po charge management controller, 4.20V, Tri-State Status Output, in SOT23-5 package",https://www.mouser.com/datasheet/2/268/20001984g-846362.pdf
U5,1,BMP388,BMP388,footprints:QFN_BMP388_BOS,Mouser,262-BMP388 ,Digital pressure Sensor,https://www.mouser.com/datasheet/2/783/BST_BMP388_DS001-1509617.pdf
U7,1,AP7312-1833,VREG_SOT23-6_DUALAP7312,Adafruit ENS160:SOT23-6,,,,
U8,1,MicroSIM SOCKET,MICROSIM,Maduino Zero A9G GPS Tracker v3.3:MICROSIM,,,,
U9,1,MIC5225-3.3,VREG_SOT23-5,Adafruit BMP388:SOT23-5,,,,
X1,1,ENS160,ENS160,Adafruit ENS160:ENS160,Mouser,135-ENS160-BGLT,Digital Metal Oxide Multi-Gas Sensor,https://www.mouser.com/datasheet/2/1081/SC_001224_DS_1_ENS160_Datasheet_Rev_0_95-2258311.pdf
